service,entityType,name,label,type,maxLength,key,selectProperty
API_PAYROLLEARMARKEDFUNDSDOC,PAYROLLEARMARKEDFUNDSDOC_TYPE,AbsoluteExchangeRate,Absolute Exchange Rate,Decimal,,,
API_PROJECTBILLINGREQUEST,PROJECTBILLINGREQUEST_TYPE,ProjBillgReqApprovalStatus,PBR Apprvl Sts,String,1.0,,
API_PLANNEDORDER,PLANNEDORDERHEADERTYPE,SalesOrderItem,Sales Order Item,String,6.0,,
API_SUPPLIERQUOTATION_2,SUPPLIERQUOTATION_TYPE,IncotermsLocation1,Incoterms Location 1,String,70.0,,
API_SALESORDER,SALESORDERITEMPRICINGELMNT_TYPE,SalesOrder,Sales Order,String,10.0,True,
API_RETURNSINSPECTION_2,RETURNSINSPECTION_TYPE,CreationDateTime,Time Stamp,DateTimeOffset,,,
API_PLANNEDORDER,PLANNEDORDERCAPACITYTYPE,Capacity,Capacity,String,8.0,,
API_PURCHASEORDER_2,PURCHASEORDER_TYPE,TaxReturnCountry,Reporting C/R,String,3.0,,
API_PURCHASEREQUISITION_2,PURCHASEREQNITEMTYPE,RequestedQuantity,Quantity requested,Decimal,,,True
API_FREIGHTORDER,FREIGHTORDER_TYPE,CreatedByUser,Created By,String,12.0,,
API_SERVICECONTRACT,SERVICECONTRACTITEM_TYPE,BillingPlanPriceDateRule,Pricing Date Rule,String,1.0,,
API_WORK_CENTER,WORKCENTERCAPACITYTYPE,CapacityCategoryAllocation,Capacity Allocation,String,4.0,True,
API_CNTRLREQFORQUOTATION,CENTRALRFQITEMDISTRIBUTIONTYPE,TargetQuantity,Target Quantity,Decimal,,,
API_RETURNSINSPECTION_2,RETURNSINSPECTION_TYPE,CreatedByUser,Created By,String,12.0,,
API_SALESORDER,SALESORDERITEM_TYPE,SalesOrderItem,Item,String,6.0,True,
API_BILLINGDOCUMENT,BILLINGDOCUMENT_TYPE,CustomerTaxClassification5,Tax Class.5 Customer,String,1.0,,
API_WORK_CENTER,WORKCENTERCAPACITYTYPE,CapIsUsedInMultiOperations,Can Be Used By Several Operations,Boolean,,,
API_PURCHASEORDER_2,PURCHASEORDERITEM_TYPE,SupplierQuotation,RFQ,String,10.0,,
API_PURCHASEORDER_2,POSUBCONTRACTINGCOMPONENT_TYPE,QuantityIsFixed,Quantity is fixed,Boolean,,,
API_WRKCTRPOOLEDCAPACITY,WORKCENTERCAPACITYTYPE,CapacityHasIndivCapacities,Individ. Capacities,Boolean,,,
API_BILLINGDOCUMENTREQUEST,BILLINGDOCUMENTREQUESTITEM_TYPE,ProviderContract,Provider Contract,String,20.0,,
API_PRODUCT_AVAILY_INFO,ATPRLVTPRODUCTSTORLOC_TYPE,Product,Product,String,18.0,True,
API_PURCHASEORDER_2,PURCHASEORDERITEM_TYPE,ExpectedOverallLimitAmount,Expected Value,Decimal,,,
API_CNTRLREQFORQUOTATION,CENTRALRFQITEMDISTRIBUTIONTYPE,DistributionKey,Distr. Number,String,4.0,True,
API_BILLINGDOCUMENTREQUEST,BILLINGDOCUMENTREQUESTITEM_TYPE,BillingDocumentRequestItemText,Item Description,String,40.0,,
API_BILLINGDOCUMENTREQUEST,BILLINGDOCUMENTREQUESTITEM_TYPE,ReturnItemProcessingType,Returns,String,1.0,,
API_SALESORDER,SALESORDER_TYPE,SalesOrder,Sales Order,String,10.0,True,
API_SUPPLIERQUOTATION_2,SUPPLIERQUOTATION_TYPE,CashDiscount2Days,Days 2,Decimal,,,
API_FREIGHTORDER,FREIGHTORDER_TYPE,TransportationShippingType,Shipping Type,String,3.0,,
API_WAREHOUSE_ORDER_TASK_2,WAREHOUSETASKTYPE,DifferenceQuantityInBaseUnit,,Decimal,,,
API_CNTRLREQFORQUOTATION,CENTRALREQUESTFORQUOTATIONTYPE,PurContrValidityEndDate,Validity Period End,Date,,,
API_PROJECTBILLINGREQUEST,PROJECTBILLINGREQUEST_TYPE,ProjBillgReqCreatedBy,Created By,String,12.0,,
API_CNSLDTNGROUPSTRUCTURE,CNSLDTNGRPSTRUCMETHASSGMT_TYPE,ConsolidationInvestmentMethod,Consolidation Method,String,5.0,,
API_PURCHASEREQUISITION_2,PURCHASEREQNITEMTYPE,PurContractForOverallLimit,Contract for Limit,String,10.0,,
API_CNTRLREQFORQUOTATION,CENTRALREQFORQUOTATIONITEMTYPE,IncotermsTransferLocation,Incoterms (Part 2),String,28.0,,
API_PURCHASEREQUISITION_2,PURCHASEREQNITEMTYPE,Plant,,String,4.0,,
API_PURCHASEORDER_2,PURCHASEORDERITEM_TYPE,SupplierIsSubcontractor,SC Supplier,Boolean,,,
API_PLANNEDORDER,PLANNEDORDERCAPACITYTYPE,OperationText,Operation Short Text,String,40.0,,
API_PURCHASEORDER_2,POSUBCONTRACTINGCOMPONENT_TYPE,ChangeNumber,Change Number,String,12.0,,
API_PURCHASEORDER_2,POSUBCONTRACTINGCOMPONENT_TYPE,UnitOfMeasureForSize1To3,Size unit,String,3.0,,
API_SALESORDER,SALESORDERITEM_TYPE,ServicesRenderedDate,Date of Services Rendered,Date,,,
API_BILLINGDOCUMENTREQUEST,BILLINGDOCUMENTREQUESTITEM_TYPE,ServiceDocumentItem,Service Doc. Item,String,6.0,,
API_SUPPLIERQUOTATION_2,SUPPLIERQUOTATIONITEM_TYPE,NetAmount,Quotation Net Value,Decimal,,,
API_CNSLDTNFSITEMHIERARCHY,CNSLDTNFSITEMHIERARCHYNODE_TYPE,HierarchyVersion,Hierarchy Version,String,15.0,,
API_WRKCTRPOOLEDCAPACITY,WORKCENTERCAPACITYSHIFTTYPE,ShiftEndTime,End Time,TimeOfDay,,,
API_CNTRLREQFORQUOTATION,CENTRALREQUESTFORQUOTATIONTYPE,RFQPublishingDate,Publishing Date,Date,,,
API_WAREHOUSE_ORDER_TASK_2,WAREHOUSEORDERTYPE,EWMWarehouse,Warehouse Number,String,4.0,True,
API_MEASURINGPOINT,MEASURINGPOINTTYPE,FunctionalLocation,Functional location,String,30.0,,
API_WORK_CENTER,WORKCENTERCAPACITYTYPE,ValidityEndDate,End Date,Date,,,
API_CNTRLREQFORQUOTATION,CENTRALREQFORQUOTATIONITEMTYPE,IncotermsClassification,Incoterms,String,3.0,,
API_SALESORDER,SALESORDERITEM_TYPE,SalesOrder,Sales Order,String,10.0,True,
API_CNTRLREQFORQUOTATION,CENTRALREQUESTFORQUOTATIONTYPE,CreationDate,Created On,Date,,,
API_WHSE_INB_DELIVERY_2,WHSEINBOUNDDELIVERYITEMTYPE,SAP__Messages,,Other,,,
API_FREIGHTORDER,FREIGHTORDERITEM_TYPE,SourceStopUUID,Source Stop UUID,Guid,,,
API_BILLINGDOCUMENT,BILLINGDOCUMENT_TYPE,AcctgExchangeRateIsIndrctQtan,Indirect Quotation,Boolean,,,
API_SALESORDER,SALESORDERITEM_TYPE,ReferenceSDDocumentCategory,Reference Document Category,String,4.0,,
API_PLANNEDORDER,PLANNEDORDERHEADERTYPE,SchedulingType,Scheduling Type,String,1.0,,
API_SUPPLIERQUOTATION_2,SUPPLIERQUOTATIONITEM_TYPE,PurchaseRequisition,Purchase Requisition,String,10.0,,
API_PURCHASEORDER_2,POSUBCONTRACTINGCOMPONENT_TYPE,VariableSizeItemUnit,Variable-Size Item Unit,String,3.0,,
API_PURCHASEORDER_2,PURCHASEORDERITEM_TYPE,NetPriceQuantity,Price Unit,Decimal,,,
API_BILLINGDOCUMENTREQUEST,BILLINGDOCUMENTREQUEST_TYPE,CustomerTaxClassification4,Tax Class.4 Customer,String,1.0,,
API_WHSE_INB_DELIVERY_2,WHSEINBOUNDDELIVERYITEMTYPE,EWMStockType,Stock Type,String,2.0,,
API_PLANNEDORDER,PLANNEDORDERCAPACITYTYPE,MRPController,MRP Controller,String,3.0,,
API_PAYROLLEARMARKEDFUNDSDOC,PAYROLLEARMARKEDFUNDSDOCITEM_TYPE,EmrkdFndsItmIsApproved,Item Approved,Boolean,,,
API_BILLINGDOCUMENTREQUEST,BILLINGDOCUMENTREQUEST_TYPE,CustomerTaxClassification9,Tax Class.9 Customer,String,1.0,,
API_QUALITYNOTIFICATION,QUALITYNOTIFICATIONITEMCAUSE_TYPE,NotificationCauseCode,Cause Code,String,4.0,,
API_PLANNEDORDER,PLANNEDORDERCAPACITYTYPE,CapacityRequirement,Capacity Requirement,String,12.0,True,
API_PAYROLLEARMARKEDFUNDSDOC,PAYROLLEARMARKEDFUNDSDOCITEM_TYPE,EmrkdFndsAcctAssgmtChangeable,Account Assignment Changeable,Boolean,,,
API_PURCHASEORDER_2,PURCHASEORDER_TYPE,IncotermsClassification,Incoterms,String,3.0,,
API_WHSE_INB_DELIVERY_2,WHSEINBOUNDDELIVERYHEADTYPE,Carrier,Business Partner,String,10.0,,
API_SALESORDER,SALESORDERITEM_TYPE,CustomerPriceGroup,Customer Price Group,String,2.0,,
API_PLANNEDORDER,PLANNEDORDERHEADERTYPE,PlndOrderPlannedStartDate,Order Start Date,Date,,,
API_CUSTOMERRETURN,CUSTOMERRETURN_TYPE,RetsMgmtCompnProcgStatus,Refunding Status,String,1.0,,
API_BILLINGDOCUMENTREQUEST,BILLINGDOCUMENTREQUESTITEM_TYPE,ItemWeightUnitISOCode,Unit of weight ISO,String,3.0,,
API_PRAINTERNALMARKETING,PRAINTERNALMARKETINGRATEHDR_TYPE,MajorProduct,Major Product Code,String,1.0,,
API_BILLINGDOCUMENT,BILLINGDOCUMENT_TYPE,CustomerPaymentTerms,Terms of Payment,String,4.0,,
API_FREIGHTORDER,FREIGHTORDERITEM_TYPE,TranspEquipCapacityWeight,Equipment Capacity Weight,Decimal,,,
API_PURCHASEREQUISITION_2,PURCHASEREQNTYPE,PurReqnDescription,PurReqn Description,String,40.0,,True
API_RFM_ASSORTMENT_MODULE,EXPLICITASSORTMENTMODULEUSERTYPE,SAP__Messages,,Other,,,
API_RFM_ASSORTMENT_MODULE,EXPLICITASSORTMENTMODULEUSERTYPE,SAP__Messages,,Other,,,
API_WAREHOUSE_RESOURCE_2,WAREHOUSERESOURCETYPE,EWMWarehouse,Warehouse Number,String,4.0,True,
API_SUPPLIERQUOTATION_2,SUPPLIERQUOTATION_TYPE,PurchasingDocumentDeletionCode,Deletion Indicator,String,1.0,,
API_PURCHASEORDER_2,POSUBCONTRACTINGCOMPONENT_TYPE,MaterialProvisionType,Material Provision Type,String,1.0,,
API_WORK_CENTER,WORKCENTERCAPACITYDESCRIPTIONTYPE,WorkCenterInternalID,Object ID,String,8.0,True,
API_PLANNEDORDER,PLANNEDORDERCAPACITYTYPE,OperationLatestEndDate,Latest End Date,Date,,,
API_PURCHASEREQUISITION_2,PURCHASEREQNITEMTYPE,OrderedQuantity,Quantity ordered,Decimal,,,
API_CNTRLREQFORQUOTATION,CENTRALRFQITEMDISTRIBUTIONTYPE,StorageLocation,Storage Location,String,4.0,,
API_PURCHASEORDER_2,POSUBCONTRACTINGCOMPONENT_TYPE,PurchaseOrder,Purchasing Document,String,10.0,True,
BR_CTR_SERVICE_O4,REND_DIRITYPE,nome,Name,String,255.0,,
API_SALESORDER,SALESORDER_TYPE,SDPricingProcedure,Pricing Procedure,String,6.0,,
API_SERVICECONTRACT,SERVICECONTRACTITEM_TYPE,ServiceQtanExtReference,Ref. Number,String,80.0,,
API_PURCHASEORDER_2,PURCHASEORDER_TYPE,CreatedByUser,Created By,String,12.0,,
API_MEASURINGPOINT,MEASURINGPOINTTYPE,MeasuringPointTargetValue,Target value,Double,,,
API_PURCHASEORDER_2,PURCHASEORDERITEM_TYPE,ItemWeightUnit,Unit of Weight,String,3.0,,
API_PURCHASEORDER_2,PURCHASEORDERITEM_TYPE,AccountAssignmentCategory,Acct Assignment Cat.,String,1.0,,
API_WHSE_INB_DELIVERY_2,WHSEINBDELIVITEMSERIALNUMBERTYPE,EWMInboundDelivery,Document Number,String,35.0,True,
API_PAYROLLEARMARKEDFUNDSDOC,PAYROLLEARMARKEDFUNDSDOCITEM_TYPE,CostCenter,Cost Center,String,10.0,,
API_PURCHASEREQUISITION_2,PURCHASEREQNITEMTYPE,PurchaseContract,,String,10.0,,
BR_CTR_SERVICE_O4,REND_DIRITYPE,cpf,CPF,String,11.0,True,
API_BILLINGDOCUMENT,BILLINGDOCUMENT_TYPE,SDPricingProcedure,Pricing Procedure,String,6.0,,
API_PLANNEDORDER,PLANNEDORDERHEADERTYPE,ScheduledBasicEndDate,Scheduled finish,Date,,,
API_PURCHASEORDER_2,PURCHASEORDERITEM_TYPE,PurchaseContract,Outline agreement,String,10.0,,
API_PAYROLLEARMARKEDFUNDSDOC,PAYROLLEARMARKEDFUNDSDOC_TYPE,EmrkdFndsDocLastChangeDateTime,Last Changed On,DateTimeOffset,,,
API_BILLINGDOCUMENT,BILLINGDOCUMENT_TYPE,TransactionCurrency,Document Currency,String,3.0,,
API_PAYROLLEARMARKEDFUNDSDOC,PAYROLLEARMARKEDFUNDSDOCITEM_TYPE,EmrkdFndsReferenceDocumentItem,Reference item,String,10.0,,
API_RETAILPROMOTION,A_RTLPROMNGLOBALSTOREGROUP_TYPE,RetailPromotionSalesFromDate,Sale from,Date,,,
API_WORK_CENTER,WORKCENTERCAPACITYTYPE,Plant,Plant,String,4.0,,
API_SERVICECONTRACT,SERVICECONTRACT_TYPE,SrvcContrExternalReference,Ref. Number,String,80.0,,
API_SALESORDER,SALESORDER_TYPE,PurchaseOrderByShipToParty,Customer Reference (Ship-to Party),String,35.0,,
API_PAYROLLEARMARKEDFUNDSDOC,PAYROLLEARMARKEDFUNDSDOC_TYPE,EmrkdFndsDocLastChangedByUser,Last Changed By,String,12.0,,
API_WORK_CENTER,WORKCENTERHEADERTYPE,StandardWorkFormulaParamGroup,Standard Value Key,String,4.0,,
API_PLANNEDORDER,PLANNEDORDERCOMPONENTTYPE,DiscontinuationGroup,Discontinuation Group,String,2.0,,
API_SUPPLIERQUOTATION_2,SUPPLIERQUOTATION_TYPE,QtnLifecycleStatus,Status,String,2.0,,
API_WORK_CENTER,WORKCENTERHEADERTYPE,WorkCenterFmlaParamUnit5,Formula Parameter Unit 5,String,3.0,,
API_PURCHASEORDER_2,PURCHASEORDERITEM_TYPE,InventorySpecialStockType,Special Stock,String,1.0,,
API_PURCHASEORDER_2,PURCHASEORDERITEM_TYPE,TaxCountry,Tax Ctry/Reg.,String,3.0,,
API_PURCHASEORDER_2,POSUBCONTRACTINGCOMPONENT_TYPE,ConsumptionPosting,Consumption Posting,String,1.0,,
API_SERVICECONTRACT,SERVICECONTRACTITEM_TYPE,ServiceContrItemEndDateTime,Contract End Date,DateTimeOffset,,,
API_BILLINGDOCUMENTREQUEST,BILLINGDOCUMENTREQUEST_TYPE,LastChangeDate,Changed On,Date,,,
API_BILLINGDOCUMENTREQUEST,BILLINGDOCUMENTREQUESTITEM_TYPE,ProfitCenter,Profit Center,String,10.0,,
API_PURCHASEORDER_2,PURCHASEORDER_TYPE,PurchasingReleaseStrategy,Release Strategy,String,2.0,,
API_WAREHOUSE_ORDER_TASK_2,WAREHOUSEORDERTYPE,CreatedByUser,Created By,String,12.0,,
API_RFM_ASSORTMENT_MODULE,PRODUCTTOEXPLICITASSTMTMDLVERSTYPE,LastChangeDate,,Date,,,
API_SERVICECONTRACT,SERVICECONTRACTITEM_TYPE,SrvcContrItemCanclnDateTime,Time Stamp,DateTimeOffset,,,
API_SUPPLIERQUOTATION_2,SUPPLIERQUOTATIONITEM_TYPE,IncotermsTransferLocation,Incoterms (Part 2),String,28.0,,
API_RETAILPROMOTION,A_RETAILPROMOTIONTEXT_TYPE,Language,Language Key,String,2.0,True,
API_WHSE_INB_DELIVERY_2,WHSEINBOUNDDELIVERYITEMTYPE,Product,Char,String,40.0,,
API_CNTRLREQFORQUOTATION,CENTRALREQUESTFORQUOTATIONTYPE,RequestForQuotationName,RFQ Description,String,40.0,,
API_BILLINGDOCUMENTREQUEST,BILLINGDOCUMENTREQUEST_TYPE,SDPricingProcedure,Pricing Procedure,String,6.0,,
API_RFM_ASSORTMENT_MODULE,EXPLCTASSTMTMDLUSRPRODEXCLSN_TYPE,AssortmentModuleUser,Customer No Plant,String,10.0,True,
API_MEASURINGPOINT,MEASURINGPOINTTYPE,MeasuringPointAnnualEstimate,Annual estimate,Double,,,
API_WRKCTRPOOLEDCAPACITY,WORKCENTERCAPACITYTYPE,ShiftGroup,Shift Grouping,String,2.0,,
API_PROJECTBILLINGREQUEST,PROJECTBILLINGREQUESTITEM_TYPE,ToBeWrittenOffAmtInTransCrcy,Amt ToWrtOff TrCrcy,Decimal,,,
API_SALESORDER,SALESORDER_TYPE,OverallDangerousGoodsStatus,Dangerous Goods Status,String,1.0,,
API_RFM_ASSORTMENT_MODULE,PRODUCTTOEXPLICITASSTMTMDLVERSTYPE,ValidityStartDate,Assigned From,Date,,True,
API_PURCHASEORDER_2,PURCHASEORDERITEM_TYPE,CrossPlantConfigurableProduct,Cross-plant CM,String,18.0,,
API_RFM_ASSORTMENT_MODULE,EXPLICITASSORTMENTMODULEVERSTYPE,ValidityEndDate,Version Valid To,Date,,,
API_PURCHASEREQUISITION_2,PURCHASEREQNITEMTYPE,PurchaseRequisitionItemText,Short Text,String,40.0,,
API_SALESORDER,SALESORDERITEM_TYPE,BillingBlockStatus,Billing Block Status,String,1.0,,
API_RETAILPROMOTION,A_RETAILPROMOTIONLOCALSTOREGROUPT_TYPE,RetailPromotionStoreGroupName,Description,String,40.0,,
API_SUPPLIERQUOTATION_2,SUPPLIERQUOTATION_TYPE,CashDiscount1Percent,CD Percentage 1,Decimal,,,
API_PURCHASEORDER_2,PURCHASEORDERITEM_TYPE,ValAddedSrvcParentItmNumber,Item,String,5.0,,
API_MEASURINGPOINT,MEASURINGPOINTTYPE,MeasuringPointSIUnitOfMeasure,SI Unit,String,3.0,,
API_PLANNEDORDER,PLANNEDORDERCAPACITYTYPE,PlannedOrderLastChangeDateTime,Change Time Stamp,DateTimeOffset,,,
API_SERVICECONTRACT,SERVICECONTRACTITEM_TYPE,SrvcContrItmExternalReference,Ref. Number,String,80.0,,
API_BILLINGDOCUMENT,BILLINGDOCUMENT_TYPE,DunningBlockingReason,Dunning Block,String,1.0,,
API_PROJECTBILLINGREQUEST,WRITTENOFFPRJBLGELMENTRDETS_TYPE,Material,Material,String,18.0,,
API_BILLINGDOCUMENTREQUEST,BILLINGDOCUMENTREQUESTITEMTEXT_TYPE,BillingDocumentRequestItem,Billing Doc. Request Item,String,6.0,True,
API_SUPPLIERQUOTATION_2,SUPPLIERQUOTATIONITEM_TYPE,BaseUnit,Base Unit of Measure,String,3.0,,
API_SERVICECONTRACT,SERVICECONTRACTITEM_TYPE,RefServiceContractTemplate,Transaction ID,String,10.0,,
API_WAREHOUSE_ORDER_TASK_2,WAREHOUSETASKTYPE,WhseTaskTwoStepPickingRlvnce,Two-Step Picking,String,1.0,,
API_BILLINGDOCUMENTREQUEST,BILLINGDOCUMENTREQUEST_TYPE,AdditionalValueDays,Addit. Value Days,String,2.0,,
API_BILLINGDOCUMENT,BILLINGDOCUMENT_TYPE,BillingDocumentIsCancelled,Canceled,Boolean,,,
API_PLANNEDORDER,PLANNEDORDERHEADERTYPE,PurchasingOrganization,Purch. Organization,String,4.0,,
API_SALESORDER,SALESORDER_TYPE,CustomerAccountAssignmentGroup,Account Assignment Group for Customer,String,2.0,,
API_PURCHASEREQUISITION_2,PURCHASEREQNITEMTYPE,PurContractItemForOverallLimit,PurCon Itm for Limit,String,5.0,,
API_SALESORDER,SALESORDERITEM_TYPE,IncotermsClassification,Incoterms,String,3.0,,
API_SUPPLIERQUOTATION_2,SUPPLIERQUOTATIONITEM_TYPE,AwardedQuantity,Awarded Quantity,Decimal,,,
API_BILLINGDOCUMENTREQUEST,BILLINGDOCUMENTREQUEST_TYPE,CustomerPaymentTerms,Terms of Payment,String,4.0,,
API_FREIGHTORDER,FREIGHTORDERITEM_TYPE,TranspOrdItemTemperatureUnit,Temperature UoM,String,3.0,,
API_PAYROLLEARMARKEDFUNDSDOC,PAYROLLEARMARKEDFUNDSDOCITEM_TYPE,EmrkdFndsItmCompletionDate,Completed On,Date,,,
API_WORK_CENTER,WORKCENTERHEADERTYPE,OperationControlProfile,Control Profile,String,4.0,,
API_PLANNEDORDER,PLANNEDORDERHEADERTYPE,IssuedQuantity,Issued Quantity,Decimal,,,
API_CUSTOMERRETURN,CUSTOMERRETURN_TYPE,CustomerReturnApprovalReason,Approval Request Reason,String,4.0,,
API_PURCHASEORDER_2,POSUBCONTRACTINGCOMPONENT_TYPE,WithdrawnQuantity,Withdrawn Quantity,Decimal,,,
API_WAREHOUSE_ORDER_TASK_2,WAREHOUSETASKTYPE,EWMReferenceDocumentCategory,Document Category,String,3.0,,
API_PURCHASEORDER_2,PURCHASEORDERITEM_TYPE,PurchaseOrderCategory,Purch. Doc. Category,String,1.0,,
API_PAYROLLEARMARKEDFUNDSDOC,PAYROLLEARMARKEDFUNDSDOC_TYPE,ExchRateIsIndirectQuotation,Exchange Rate Is Indirect Quotation,Boolean,,,
API_PURCHASEORDER_2,POSUBCONTRACTINGCOMPONENT_TYPE,MaterialQtyToBaseQtyDnmntr,Denominator,Decimal,,,
API_PURCHASEORDER_2,POSUBCONTRACTINGCOMPONENT_TYPE,FormulaKey,VSI Formula,String,2.0,,
API_PLANNEDORDER,PLANNEDORDERHEADERTYPE,CapacityRequirementOrigin,Capacity Requirement Origin,String,1.0,,
API_BILLINGDOCUMENTREQUEST,BILLINGDOCUMENTREQUESTITEM_TYPE,ProductTaxClassification4,Tax Class.4 Material,String,1.0,,
API_PLANNEDORDER,PLANNEDORDERHEADERTYPE,ProductionEndDate,Production End Date,Date,,,
API_PURCHASEORDER_2,PURCHASEORDER_TYPE,CashDiscount1Days,Days 1,Decimal,,,
API_SUPPLIERQUOTATION_2,SUPPLIERQUOTATION_TYPE,EffectiveExchangeRate,Effective Exch. Rate,Decimal,,,
API_SERVICECONTRACT,SERVICECONTRACTITEM_TYPE,SrvcSEPAMandateRelevance,SEPA Relevant,String,1.0,,
API_BILLINGDOCUMENTREQUEST,BILLINGDOCUMENTREQUESTITEM_TYPE,BillgDocRequestItemInPartSgmt,Partner Item,String,6.0,,
API_FREIGHTORDER,FREIGHTORDERITEM_TYPE,TranspEquipCapacityUnit,Equipment Capacity Unit of Measure,String,3.0,,
API_FREIGHTORDER,FREIGHTORDERITEM_TYPE,FreightUnitUUID,Freight Unit UUID,Guid,,,
API_PURCHASEORDER_2,POSUBCONTRACTINGCOMPONENT_TYPE,Reservation,Reservation,String,10.0,,
API_BILLINGDOCUMENTREQUEST,BILLINGDOCUMENTREQUESTITEM_TYPE,BillingQuantityUnitISOCode,Billing Quantity Unit in ISO Code,String,3.0,,
API_FREIGHTORDER,FREIGHTORDER_TYPE,TranspOrdPartnerReference,Partner Ref. Number,String,35.0,,
API_PLANNEDORDER,PLANNEDORDERHEADERTYPE,MaterialName,Material Description,String,40.0,,
API_PURCHASEORDER_2,PURCHASEORDERITEM_TYPE,ProductSeason,Season,String,10.0,,
API_RE_SPACEGROUPTYPE,RESPACEGROUPTYPE_TYPE,RESpaceGroupDirection,Group Direction,String,2.0,,
API_CNTRLREQFORQUOTATION,CENTRALREQFORQUOTATIONITEMTYPE,ManufacturerMaterial,Material,String,18.0,,
API_PURCHASEORDER_2,PURCHASEORDERITEM_TYPE,RetailPromotion,Retail Promotion,String,10.0,,
API_CNSLDTNFSITEMHIERARCHY,CNSLDTNFSITEMHIERARCHYNODE_TYPE,CnsldtnFinancialStatementItem,Consolidation FS Item,String,10.0,,
API_SERVICECONTRACT,SERVICECONTRACT_TYPE,RefBusinessSolutionOrder,Ref. Soltn Order ID,String,10.0,,
API_WORK_CENTER,WORKCENTERCAPACITYTYPE,WorkCenterLastChangeDateTime,Date and Time of Last Change,DateTimeOffset,,,
API_PURCHASEORDER_2,PURCHASEORDERITEM_TYPE,AllocationTableItem,Item,String,5.0,,
API_CUSTOMERRETURN,CUSTOMERRETURN_TYPE,AssignmentReference,Assignment,String,18.0,,
API_CNTRLREQFORQUOTATION,CENTRALREQFORQUOTATIONITEMTYPE,PurchaseRequisition,Purchase Requisition,String,10.0,,
API_SALESORDER,SALESORDERITEM_TYPE,Product,Product,String,18.0,,
API_RFM_ASSORTMENT_MODULE,PRODUCTTOEXPLICITASSTMTMDLVERSTYPE,AssortmentModuleObjectUUID,Assortment UUID,Guid,,,
API_PLANNEDORDER,PLANNEDORDERCAPACITYTYPE,CapacityCategoryCode,Capacity Category,String,3.0,,
API_SUPPLIERQUOTATION_2,SUPPLIERQUOTATIONITEM_TYPE,PerformancePeriodStartDate,Start of Performance Period,Date,,,
API_BILLINGDOCUMENTREQUEST,BILLINGDOCUMENTREQUEST_TYPE,IncotermsLocation2,Incoterms Location 2,String,70.0,,
API_PURCHASEORDER_2,PURCHASEORDERITEM_TYPE,ItemGrossWeight,Gross Weight,Decimal,,,
API_PAYROLLEARMARKEDFUNDSDOC,PAYROLLEARMARKEDFUNDSDOCITEM_TYPE,EmrkdFndsAmountInCCCrcy,Total Amount in Local Currency,Decimal,,,
API_QUALITYNOTIFICATION,QUALITYNOTIFICATIONITEMCAUSE_TYPE,NotificationCauseCodeGroup,Cause Code Group,String,8.0,,
API_SERVICECONTRACT,SERVICECONTRACT_TYPE,ServiceContractIsInProcess,Checkbox,Boolean,,,
API_BILLINGDOCUMENTREQUEST,BILLINGDOCUMENTREQUEST_TYPE,SAP__Messages,,Other,,,
API_WAREHOUSE_ORDER_TASK_2,WAREHOUSEORDERTYPE,ActivityArea,Activity Area,String,4.0,,
